编号,名称,属性,种族值_生命,种族值_物攻,种族值_魔攻,种族值_物防,种族值_魔防,种族值_速度,种族值_总和,特性名称,特性效果,简介,进化阶段
NO001,迪莫,光,120,80,80,105,105,92,582,最好的伙伴,造成克制伤害后，获得攻防速+20%，并回复2能量。,这是关于勇气的故事，它很脆弱却也不曾退缩；这是关于梦想的故事，梦很简单却也执着。这就是我，迪莫。,最终形态
NO002,喵喵,草,65,66,66,49,91,33,370,氧循环,使用草系技能后，回复10%生命。,喜欢阳光，喜欢新鲜的空气，会摇晃尾巴，受到惊吓会快速逃跑。虽然很胆小，但是也有时候非常调皮。,Ⅰ阶
NO003,喵呜,草,86,87,87,65,121,44,490,氧循环,使用草系技能后，回复10%生命。,爱在泉水边嬉戏，是喵喵的进化型，芭蕉叶状的尾巴变成了两条。胆量变大了，会经常吐舌头挑衅对手。,Ⅱ阶
NO004,魔力猫,草,108,109,109,81,151,55,613,氧循环,使用草系技能后，回复10%生命。,普遍性情温和，体型巨大，据说深吸一口气能呼出将洛克都吹走的狂风，但通常情况下举止动作十分轻柔。“长了三条锋利的尾巴，经常会用身体冲撞碾压对手。”,最终形态
NO005,火花,火,70,84,37,56,43,78,368,助燃,使用火系技能后，获得双攻+20%。,像一团迸发的小火花，坦诚炙热，生性勇敢无畏。能熟练运用火元素，偶尔有点冒失，是值得信赖的伙伴。,Ⅰ阶
NO006,焰火,火,93,111,49,75,58,104,490,助燃,使用火系技能后，获得双攻+20%。,长出了一对大翅膀，但似乎并不是用来飞行的。能用双手释放出更加强力的火焰，但不太熟练。,Ⅱ阶
NO007,火神,火,117,139,61,94,72,130,613,助燃,使用火系技能后，获得双攻+20%。,强大的火焰之灵，只是靠近它就能够感受到温度的急剧变化。如果没有脖子上的项圈，它的火焰可能会暴走。“在磨练中成长，在烈火中重生，用意志在战斗，用生命在燃烧，永远的火神”。,最终形态
NO008,水蓝蓝,水,75,35,76,56,79,51,372,浸润,使用水系技能后，全技能能耗-1。,漂浮在水面上的精灵，没事吐个泡泡，头顶有一个红色的蝴蝶结。不在水中的时候，身体上也覆盖了一层液体薄膜。,Ⅰ阶
NO009,波波拉,水,100,46,102,75,106,68,497,浸润,使用水系技能后，全技能能耗-1。,在水中自如地游动，头上的触角可以感受水中的变化，总是带着一颗球一样的东西。身旁环绕着特殊的水元素，水元素凝结体中蕴含魔法能量的波动。,Ⅱ阶
NO010,水灵,水,125,58,127,94,132,85,621,浸润,使用水系技能后，全技能能耗-1。,将刚刚孕育的胚胎顶在头上，胚胎由特殊水元素包裹着。能将身边的水元素汇集在一起喷射出去，产生强大的冲击力。“无论是云中落下的一滴水，还是湖面中微风吹起的一道涟漪，都有她的身影”。,最终形态
NO011,鸭吉吉,普通,136,95,35,55,45,105,471,挺起胸脯,携带的能耗为1的技能，威力+50%。,拥有蓬松的被毛，非常柔软。似乎很讨厌肢体接触，抗拒被抚摸。非常聪慧的物种，对环境中与众不同的东西十分敏感，尤其对于闪光的物体和新奇的事物格外感兴趣。,最终形态
NO011,鸭吉吉,普通,136,35,95,45,55,105,471,挺起胸脯,携带的能耗为1的技能，威力+50%。,拥有蓬松的被毛，非常柔软。似乎很讨厌肢体接触，抗拒被抚摸。非常聪慧的物种，对环境中与众不同的东西十分敏感，尤其对于闪光的物体和新奇的事物格外感兴趣。,最终形态
NO011,鸭吉吉,普通,130,95,35,55,45,110,470,挺起胸脯,携带的能耗为1的技能，威力+50%。,非常急躁的鸭吉吉，虽然拿着表，但是来不及看时间，似乎一直在赶路，走路速度极快，所到之处有“啪嗒啪嗒”的响声。,最终形态
NO011,鸭吉吉,普通,137,35,94,46,57,100,469,挺起胸脯,携带的能耗为1的技能，威力+50%。,因为等待太久，焦急的心情让它的脸涨得通红，光滑的毛发也因为缺水而翘起，会专注地一直看着沙漏计时，内心的渴望支撑着它，相信前方总会有好事发生。,最终形态
NO011,鸭吉吉,普通,107,53,125,80,113,100,578,挺起胸脯,携带的能耗为1的技能，威力+50%。,它的眼皮开始打架，脑袋一点一点前倾——虽然随时能睡，但是也随时能醒。当你以为它睡着了，它能猛地抖翅，把自己从瞌睡里吓醒，大喊“嘎噶——！”,最终形态
NO011,鸭吉吉,普通,108,89,41,74,48,115,475,挺起胸脯,携带的能耗为1的技能，威力+50%。,,最终形态
NO012,板板壳,水,67,28,72,64,81,45,357,缩壳,携带的防御技能能耗-2。,平时看似懒懒的，感到危险时，柔软的身体会迅速缩回壳里。柔韧的尾巴看起来像海草，偶尔会被饥饿的水生精灵咬一口。,Ⅰ阶
NO013,咔咔壳,水,90,37,96,85,107,60,475,缩壳,携带的防御技能能耗-2。,很少再缩进壳里，即使遇到危险也会勇敢面对。甲壳内一部分是空气，一部分是水，通过喷嘴来调节重量从而在水中下潜和上浮。,Ⅱ阶
NO014,水泡壳,水,112,46,120,107,134,75,594,缩壳,携带的防御技能能耗-2。,进化之后体重增长到原来的三倍多，前肢的力量也变得十分发达。前面有坚硬的尖角，背后有甲壳和水炮的泵口，是像堡垒一样可靠的存在。,最终形态
